phase,control,rounds,job_id,bit_index,trials,ones,one_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,bit_a019_d019_off+000,42,160000,80053,0.50033125,0.5,0.7929360834882676,0.49787818314457344,0.502784304851024,0.972968640268904,0.9424667834388137
calibration,feistel_null,16,bit_a019_d019_off+000,43,160000,79763,0.49851875,0.5,0.23700726824400978,0.4960657261999204,0.5009718274801446,0.972968640268904,0.5520824446812238
calibration,feistel_null,16,bit_a019_d019_off+000,44,160000,80332,0.502075,0.5,0.09741812416513176,0.49962192210737216,0.5045280026952369,0.972968640268904,0.304816131019846
calibration,feistel_null,16,bit_a019_d019_off+000,45,160000,80401,0.50250625,0.5,0.045230645805814804,0.500053173973712,0.504959235200523,0.972968640268904,0.1619446898781621
calibration,feistel_null,16,bit_a019_d019_off+000,46,160000,80168,0.50105,0.5,0.4023116501312396,0.49859692498535907,0.5035030369629495,0.972968640268904,0.7273430962824671
calibration,feistel_null,16,bit_a019_d019_off+000,47,160000,80019,0.50011875,0.5,0.926300829170605,0.4976656865264954,0.5025718091700394,0.972968640268904,0.9799559705255522
calibration,feistel_null,16,bit_a019_d019_off+000,48,160000,80085,0.50053125,0.5,0.6726602326338715,0.4980781803658243,0.5029843003818318,0.972968640268904,0.8934677597073908
calibration,feistel_null,16,bit_a019_d019_off+000,49,160000,80073,0.50045625,0.5,0.7169785460573285,0.49800318136191923,0.502909302103715,0.972968640268904,0.9118813006078137
calibration,feistel_null,16,bit_a019_d019_off+000,50,160000,80041,0.50025625,0.5,0.839525937473832,0.49780318428766346,0.5027093064259118,0.972968640268904,0.955902031104378
calibration,feistel_null,16,bit_a019_d019_off+000,51,160000,80063,0.50039375,0.5,0.7546606746584724,0.49794068223410626,0.5028468034965095,0.972968640268904,0.929483438597878
calibration,feistel_null,16,bit_a019_d019_off+000,52,160000,80323,0.50201875,0.5,0.10685288772841035,0.4995656719983031,0.5044717548427894,0.972968640268904,0.32674902558399027
calibration,feistel_null,16,bit_a019_d019_off+000,53,160000,80383,0.50239375,0.5,0.055811753391474345,0.4999406733111299,0.504846739940072,0.972968640268904,0.1945242868375416
calibration,feistel_null,16,bit_a019_d019_off+000,54,160000,79903,0.49939375,0.5,0.6294509353393409,0.4969407013951745,0.5018468205751473,0.972968640268904,0.8740161242824332
calibration,feistel_null,16,bit_a019_d019_off+000,55,160000,80174,0.5010875,0.5,0.3856681730135417,0.49863442469861763,0.5035405358907018,0.972968640268904,0.7126023261744256
calibration,feistel_null,16,bit_a019_d019_off+000,56,160000,80254,0.5015875,0.5,0.2049764205265837,0.4991344221922421,0.5040405202772241,0.972968640268904,0.5059356932811065
calibration,feistel_null,16,bit_a019_d019_off+000,57,160000,80069,0.50043125,0.5,0.7319747624724315,0.4979781817062004,0.5028843026654263,0.972968640268904,0.9205119004074462
calibration,feistel_null,16,bit_a019_d019_off+000,58,160000,80062,0.5003875,0.5,0.7584629333885117,0.4979344323234305,0.5028405536336834,0.972968640268904,0.9310309803282618
calibration,feistel_null,16,bit_a019_d019_off+000,59,160000,80162,0.5010125,0.5,0.41937855879376496,0.49855942528588126,0.5034655380214164,0.972968640268904,0.7423826971386689
calibration,feistel_null,16,bit_a019_d019_off+000,60,160000,80040,0.50025,0.5,0.8434363587890904,0.4977969343854091,0.5027030565546644,0.972968640268904,0.9575006168324024
calibration,feistel_null,16,bit_a019_d019_off+000,61,160000,80090,0.5005625,0.5,0.6545142224271197,0.4981094299670538,0.5030155496481116,0.972968640268904,0.885678658838918
calibration,feistel_null,16,bit_a019_d019_off+000,62,160000,80061,0.50038125,0.5,0.7622710425523216,0.4979281824131373,0.5028343037704748,0.972968640268904,0.9319814704770883
calibration,feistel_null,16,bit_a019_d019_off+000,63,160000,79797,0.49873125,0.5,0.3112990403558374,0.4962782194861006,0.5011843264930266,0.972968640268904,0.641302744080695
calibration,feistel_null,16,bit_a019_d019_off+000,64,160000,79597,0.49748125,0.5,0.0441669199997668,0.4950282653337498,0.49993432594501164,0.972968640268904,0.15854262472456604
calibration,feistel_null,16,bit_a019_d019_off+000,65,160000,79868,0.499175,0.5,0.5108595959427796,0.4967219568929628,0.5016280730047947,0.972968640268904,0.8051306580834287
calibration,feistel_null,16,bit_a019_d019_off+000,66,160000,80139,0.50086875,0.5,0.48862350374969693,0.4984156765655475,0.5033217919512079,0.972968640268904,0.7916102750337881
calibration,feistel_null,16,bit_a019_d019_off+000,67,160000,79986,0.4999125,0.5,0.946183689886611,0.49745944023213423,0.5023655629388399,0.972968640268904,0.9857818270812144
calibration,feistel_null,16,bit_a019_d019_off+000,68,160000,80047,0.50029375,0.5,0.8161497761745778,0.497840683709228,0.5027468056453583,0.972968640268904,0.9504783028431592
calibration,feistel_null,16,bit_a019_d019_off+000,69,160000,79708,0.498175,0.5,0.14497817594321918,0.4957219879974259,0.5006280781400382,0.972968640268904,0.40576982188189625
calibration,feistel_null,16,bit_a019_d019_off+000,70,160000,79668,0.497925,0.5,0.09741812416513176,0.4954719973047631,0.5003780778926278,0.972968640268904,0.304816131019846
calibration,feistel_null,16,bit_a019_d019_off+000,71,160000,79840,0.499,0.5,0.4251607906176684,0.4965469616288239,0.5014530746108823,0.972968640268904,0.7461688464222335
calibration,feistel_null,16,bit_a019_d019_off+000,72,160000,80162,0.5010125,0.5,0.41937855879376496,0.49855942528588126,0.5034655380214164,0.972968640268904,0.7423826971386689
calibration,feistel_null,16,bit_a019_d019_off+000,73,160000,80106,0.5006625,0.5,0.5978465540994344,0.4982094287552985,0.5031155472358962,0.972968640268904,0.8558176207798056
calibration,feistel_null,16,bit_a019_d019_off+000,74,160000,80099,0.50061875,0.5,0.6223660592503274,0.4981656792733832,0.5030717983032987,0.972968640268904,0.8697609562446574
calibration,feistel_null,16,bit_a019_d019_off+000,75,160000,80192,0.5012,0.5,0.33831496733376626,0.498746923921079,0.5036530325912737,0.972968640268904,0.6713847413755362
calibration,feistel_null,16,bit_a019_d019_off+000,76,160000,80020,0.500125,0.5,0.9223293741739618,0.4976719364207109,0.5025780590493257,0.972968640268904,0.9786528866615123
calibration,feistel_null,16,bit_a019_d019_off+000,77,160000,80044,0.500275,0.5,0.8278187910945984,0.4978219339967231,0.5027280560373577,0.972968640268904,0.9530992152921844
calibration,feistel_null,16,bit_a019_d019_off+000,78,160000,80163,0.50101875,0.5,0.41650486906629264,0.4985656752348373,0.5034717878459621,0.972968640268904,0.740110456832283
calibration,feistel_null,16,bit_a019_d019_off+000,79,160000,79903,0.49939375,0.5,0.6294509353393409,0.4969407013951745,0.5018468205751473,0.972968640268904,0.8740161242824332
calibration,feistel_null,16,bit_a019_d019_off+000,80,160000,80160,0.501,0.5,0.4251607906176684,0.4985469253891178,0.503453038371176,0.972968640268904,0.7461688464222335
calibration,feistel_null,16,bit_a019_d019_off+000,81,160000,79982,0.4998875,0.5,0.9302741213785515,0.4974344407096298,0.5023405633673371,0.972968640268904,0.9817252150034043
calibration,feistel_null,16,bit_a019_d019_off+000,82,160000,79607,0.49754375,0.5,0.049703961621671344,0.4950907626776982,0.49999682633608145,0.972968640268904,0.17611369100550678
calibration,feistel_null,16,bit_a019_d019_off+000,83,160000,80003,0.50001875,0.5,0.990026707905314,0.4975656882711082,0.5024718110493974,0.990026707905314,0.99710250038854
calibration,feistel_null,16,bit_a019_d019_off+000,84,160000,79640,0.49775,0.5,0.07225594683998299,0.4952970041843336,0.5002030773550062,0.972968640268904,0.24132449303373313
calibration,feistel_null,16,bit_a019_d019_off+000,85,160000,80059,0.50036875,0.5,0.7699044663797856,0.4979156825936995,0.5028218040429088,0.972968640268904,0.9343973296138991
calibration,feistel_null,16,bit_a019_d019_off+000,86,160000,80303,0.50189375,0.5,0.13040645478308652,0.49944067186694174,0.504346759504114,0.972968640268904,0.37757646474424295
calibration,feistel_null,16,bit_a019_d019_off+000,87,160000,80095,0.50059375,0.5,0.6365700781457464,0.4981406795778533,0.5030467989048214,0.972968640268904,0.8777124237269897
calibration,feistel_null,16,bit_a019_d019_off+000,88,160000,80087,0.50054375,0.5,0.6653781852793414,0.49809068020516767,0.5029968000894921,0.972968640268904,0.8905724055324752
calibration,feistel_null,16,bit_a019_d019_off+000,89,160000,80080,0.5005,0.5,0.6909989150661016,0.4980469307741649,0.5029530511059821,0.972968640268904,0.9019156471291061
calibration,feistel_null,16,bit_a019_d019_off+000,90,160000,79671,0.49794375,0.5,0.10048612540369115,0.49549074658546705,0.5003968279324295,0.972968640268904,0.3124426895143109
calibration,feistel_null,16,bit_a019_d019_off+000,91,160000,79952,0.4997,0.5,0.8122690097420794,0.49724694448607376,0.5021530663858381,0.972968640268904,0.9495739393894771
calibration,feistel_null,16,bit_a019_d019_off+000,92,160000,80117,0.50073125,0.5,0.5602300764965518,0.4982781779790627,0.5031842955206524,0.972968640268904,0.8378903578371018
calibration,feistel_null,16,bit_a019_d019_off+000,93,160000,80049,0.50030625,0.5,0.8083928489563278,0.4978531835194786,0.5027593053821114,0.972968640268904,0.948580149730267
calibration,feistel_null,16,bit_a019_d019_off+000,94,160000,80149,0.50093125,0.5,0.45778455689366493,0.4984781759842888,0.503384290267485,0.972968640268904,0.7695710620429784
calibration,feistel_null,16,bit_a019_d019_off+000,95,160000,79677,0.49798125,0.5,0.10685288772841035,0.49552824515721056,0.500434328001697,0.972968640268904,0.32674902558399027
calibration,feistel_null,16,bit_a019_d019_off+000,96,160000,79963,0.49976875,0.5,0.8551904264625161,0.497315693061375,0.502221815319057,0.972968640268904,0.9602138121684392
calibration,feistel_null,16,bit_a019_d019_off+000,97,160000,79986,0.4999125,0.5,0.946183689886611,0.49745944023213423,0.5023655629388399,0.972968640268904,0.9857818270812144
calibration,feistel_null,16,bit_a019_d019_off+000,98,160000,79816,0.49885,0.5,0.3588807325174755,0.4963969659270017,0.5013030757486603,0.972968640268904,0.6884486138963937
calibration,feistel_null,16,bit_a019_d019_off+000,99,160000,79954,0.4997125,0.5,0.8200350565935901,0.49725944422359236,0.502165566195323,0.972968640268904,0.9504783028431592
calibration,feistel_null,16,bit_a019_d019_off+000,100,160000,80162,0.5010125,0.5,0.41937855879376496,0.49855942528588126,0.5034655380214164,0.972968640268904,0.7423826971386689
calibration,feistel_null,16,bit_a019_d019_off+000,101,160000,80186,0.5011625,0.5,0.35366702681907614,0.4987094241664776,0.5036155337048639,0.972968640268904,0.6843443602848336
calibration,feistel_null,16,bit_a019_d019_off+000,102,160000,80026,0.5001625,0.5,0.8985447248839227,0.49770943579404275,0.5026155583170049,0.972968640268904,0.9725633834273167
calibration,feistel_null,16,bit_a019_d019_off+000,103,160000,79814,0.4988375,0.5,0.35366702681907614,0.49638446629513605,0.5012905758335224,0.972968640268904,0.6843443602848336
calibration,feistel_null,16,bit_a019_d019_off+000,104,160000,80150,0.5009375,0.5,0.4547619064667833,0.49848442592826825,0.5033905400970073,0.972968640268904,0.7672608615256802
calibration,feistel_null,16,bit_a019_d019_off+000,105,160000,80086,0.5005375,0.5,0.6690153176368795,0.4980844302853046,0.5029905502358534,0.972968640268904,0.8920978625664092
calibration,feistel_null,16,bit_a019_d019_off+000,106,160000,79987,0.49991875,0.5,0.9501646877626015,0.4974656901137174,0.5023718128307587,0.972968640268904,0.9873176568822595
