phase,control,rounds,job_id,byte_index,trials,nonzero,nonzero_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,1,160000,159385,0.99615625,0.99609375,0.7034055381161318,0.9958407510047157,0.9964535546994084,0.8657298930660084,0.8701924182879982
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,2,160000,159409,0.99630625,0.99609375,0.17933242110671713,0.995996696744396,0.9965975986001014,0.4099026768153534,0.42041300186190095
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,3,160000,159377,0.99610625,0.99609375,0.9520651830367521,0.9957887952343962,0.9964055138597604,0.968026463428358,0.9875554572828548
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,4,160000,159387,0.99616875,0.99609375,0.6448810532822427,0.9958537419531708,0.9964655628986566,0.8657298930660084,0.8440161024552869
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,5,160000,159336,0.99585,0.99609375,0.11802014526697782,0.9955227154911891,0.9961591105268097,0.4099026768153534,0.31126192158323823
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,6,160000,159417,0.99635625,0.99609375,0.09619803813209854,0.9960487056778148,0.9966455861467214,0.4099026768153534,0.26652270304996994
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,7,160000,159410,0.9963125,0.99609375,0.16669297883600925,0.9960031971067277,0.9966035977996639,0.4099026768153534,0.39906548549269044
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,8,160000,159365,0.99603125,0.99609375,0.6885399078547646,0.9957108852301221,0.9963334288932781,0.8657298930660084,0.8617970163501617
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,9,160000,159383,0.99614375,0.99609375,0.7637410283656014,0.9958277608624917,0.9964415456919983,0.8728468895606873,0.9057336469808245
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,10,160000,159398,0.9962375,0.99609375,0.3671614830414377,0.995925206758233,0.9965315933707364,0.6527315254070003,0.6533364665797594
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,11,160000,159337,0.99585625,0.99609375,0.1277403944427496,0.9955292015279255,0.9961651240857164,0.4099026768153534,0.33098725685570746
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,12,160000,159363,0.99601875,0.99609375,0.6305127956476326,0.995697902940957,0.9963214120143271,0.8657298930660084,0.8354620894709832
