phase,rounds,job_id,panel,alpha_hex_text,delta_hex_text,alpha_description,delta_description,controls_present,hespn_present,hespn_keys_completed,hespn_trials,hespn_mean_returned_hw,hespn_mean_hw_theoretical_z,hespn_mean_returned_active_bytes,hespn_mean_active_theoretical_z,hespn_exact_successes,hespn_exact_probability,hespn_weight_leq_48_probability,hespn_weight_leq_48_binomial_z,hespn_active_bytes_leq_14_probability,hespn_active_bytes_leq_14_binomial_z,hespn_hw_distribution_p,hespn_active_distribution_p,hespn_output_bits_min_within_job_q,hespn_byte_activity_min_within_job_q,hespn_minimum_broad_bh_q,hespn_broad_flag_q_le_0_05,hespn_degenerate_rate,feistel_null_present,feistel_null_keys_completed,feistel_null_trials,feistel_null_mean_returned_hw,feistel_null_mean_hw_theoretical_z,feistel_null_mean_returned_active_bytes,feistel_null_mean_active_theoretical_z,feistel_null_exact_successes,feistel_null_exact_probability,feistel_null_weight_leq_48_probability,feistel_null_weight_leq_48_binomial_z,feistel_null_active_bytes_leq_14_probability,feistel_null_active_bytes_leq_14_binomial_z,feistel_null_hw_distribution_p,feistel_null_active_distribution_p,feistel_null_output_bits_min_within_job_q,feistel_null_byte_activity_min_within_job_q,feistel_null_minimum_broad_bh_q,feistel_null_broad_flag_q_le_0_05,feistel_null_degenerate_rate,spn_null_present,spn_null_keys_completed,spn_null_trials,spn_null_mean_returned_hw,spn_null_mean_hw_theoretical_z,spn_null_mean_returned_active_bytes,spn_null_mean_active_theoretical_z,spn_null_exact_successes,spn_null_exact_probability,spn_null_weight_leq_48_probability,spn_null_weight_leq_48_binomial_z,spn_null_active_bytes_leq_14_probability,spn_null_active_bytes_leq_14_binomial_z,spn_null_hw_distribution_p,spn_null_active_distribution_p,spn_null_output_bits_min_within_job_q,spn_null_byte_activity_min_within_job_q,spn_null_minimum_broad_bh_q,spn_null_broad_flag_q_le_0_05,spn_null_degenerate_rate,spn_minus_hespn_mean_returned_hw,spn_minus_hespn_mean_hw_theoretical_z,spn_minus_hespn_mean_returned_active_bytes,spn_minus_hespn_mean_active_theoretical_z,spn_minus_hespn_exact_probability,spn_minus_hespn_weight_leq_48_probability,spn_minus_hespn_active_bytes_leq_14_probability,spn_minus_hespn_degenerate_rate,feistel_minus_hespn_mean_returned_hw,feistel_minus_hespn_mean_hw_theoretical_z,feistel_minus_hespn_mean_returned_active_bytes,feistel_minus_hespn_mean_active_theoretical_z,feistel_minus_hespn_exact_probability,feistel_minus_hespn_weight_leq_48_probability,feistel_minus_hespn_active_bytes_leq_14_probability,feistel_minus_hespn_degenerate_rate
calibration,10,bit_a044_d044_off+000,bit_positions,'00000000000800000000000000000000,'00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",hespn;spn_null,True,8,160000,62.94536874999998,-74.57369085262602,15.776093749999994,-258.75587707639335,5,3.125e-05,0.01696875,103.08279525907551,0.033,297.6028993900047,0.0,0.0,2.6846406100709115e-89,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.00166250000017,0.11755650238395365,15.93772500000002,0.3607051916969544,0,0.0,0.00303125,0.5052277065942238,0.00184375,0.7450638236996117,0.15998266081783113,0.8039585432144617,0.5295548169795801,0.7075499873180568,0.8170965104798179,False,0.0,1.0562937500001865,74.69124735500996,0.16163125000002587,259.1165822680903,-3.125e-05,-0.013937500000000002,-0.031156250000000003,0.0,,,,,,,,
calibration,10,bit_a068_d068_off+000,bit_positions,'00000000000000000800000000000000,'00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",hespn;spn_null,True,8,160000,63.086368749999885,-64.60348523790235,15.780737499999994,-251.3113227039737,43,0.00026875,0.014575,85.46521302920989,0.0251375,222.68872543967137,0.0,0.0,5.64280284502012e-166,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.01143749999984,0.8087533809710281,15.936956249999989,-0.8717042132080747,0,0.0,0.00273125,-1.7027199357910239,0.00190625,1.3405660013652188,0.21689058432163497,0.475870473625131,0.34224210688669443,0.5238251492054358,0.8170965104798179,False,0.0,0.9250687499999586,65.41223861887337,0.1562187499999954,250.43961849076564,-0.00026875,-0.01184375,-0.023231250000000002,0.0,,,,,,,,
calibration,10,bit_a093_d093_off+000,bit_positions,'00000000000000000000000400000000,'00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",hespn;spn_null,True,8,160000,62.59174375000012,-99.57875440232532,15.725756250000009,-339.45364412276643,0,0.0,0.02078125,131.1421298810547,0.05119375,470.9535833084629,0.0,0.0,0.0,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.988243750000024,-0.8312924096307645,15.937168749999994,-0.5310381988492922,0,0.0,0.00310625,1.0572146171905357,0.00165,-1.1009929270637702,0.6155350324657933,0.49925467462156237,0.10359723793250974,0.880582055417072,0.8170965104798179,False,0.0,1.3964999999999037,98.74746199269455,0.21141249999998557,338.92260592391716,0.0,-0.017675,-0.049543750000000004,0.0,,,,,,,,
calibration,10,bit_a118_d118_off+000,bit_positions,'00000000000000000000000000000200,'00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",hespn;spn_null,True,8,160000,62.90540000000007,-77.39990826867445,15.759668750000007,-285.08735606792163,20,0.000125,0.01620625,97.47092833467968,0.03229375,290.87372478238336,0.0,0.0,1.3626358146659963e-119,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.98570000000008,-1.0111626970911405,15.938237500000017,1.18231146159662,0,0.0,0.0031125,1.103213526406895,0.00159375,-1.6369448869628165,0.2048090092457573,0.36569230612655435,0.3616298422372808,0.876079470913139,0.6306093345107037,False,0.0,1.0803000000000083,76.38874557158331,0.17856875000001082,286.26966752951824,-0.000125,-0.013093749999999998,-0.0307,0.0,,,,,,,,
calibration,10,bytepos_ab15_db15_a07_d10_off+00,byte_positions,'00000000000000000000000000000007,'00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",hespn;spn_null,True,8,160000,63.65983749999997,-24.053121045538777,15.888949999999976,-77.83216469042894,1,6.25e-06,0.00564375,19.73277175903242,0.00908125,69.7042159973769,0.0,0.0,1.7728099089007763e-12,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.0002812499999,0.01988737821386979,15.937793749999985,0.470920666871797,0,0.0,0.00285625,-0.7827417514638373,0.0017875,0.20911186380056535,0.9135728384598916,0.49758767649673086,0.6798435483131837,0.1746880474424051,0.8170965104798179,False,0.0,0.34044374999992755,24.073008423752647,0.04884375000000851,78.30308535730073,-6.25e-06,-0.0027875000000000005,-0.007293750000000001,0.0,,,,,,,,
calibration,10,value_b00_a07_d10,byte_values,'07000000000000000000000000000000,'10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",hespn;spn_null,True,8,160000,63.69106250000002,-21.845180121280322,15.89171875,-73.39348691517826,0,0.0,0.00580625,20.928743398657762,0.009825,76.79069191159763,1.6400529243674878e-238,0.0,1.3094890144352326e-26,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.01136249999999,0.803450080122504,15.937356250000002,-0.2304505391155942,0,0.0,0.0028375,-0.9207384791129153,0.0017625,-0.029089007265677477,0.8645060319611002,0.641196862415661,0.029559812555189233,0.5512645665758747,0.6306093345107037,False,0.0,0.3202999999999676,22.648630201402824,0.04563750000000155,73.16303637606266,0.0,-0.0029687499999999996,-0.0080625,0.0,,,,,,,,
calibration,10,value_b00_a0F_dF0,byte_values,'0F000000000000000000000000000000,'F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",hespn;spn_null,True,8,160000,63.671943750000096,-23.197079898556115,15.890125,-75.94848202280791,0,0.0,0.005475,18.490801210190718,0.00969375,75.54013733849986,0.0,0.0,1.1997275425112287e-21,0.0,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.00496874999995,0.35134368189827947,15.937200000000011,-0.4809402555351875,0,0.0,0.0032375,2.0231917107340815,0.00194375,1.697867307964583,0.027963812867497818,0.4052128383281438,0.8041137901856164,0.3961801487135007,0.6306093345107037,False,0.0,0.33302499999985,23.548423580454394,0.04707500000001197,75.46754176727272,0.0,-0.0022375,-0.007749999999999999,0.0,,,,,,,,
calibration,12,bit_a019_d019_off+000,bit_positions,'00001000000000000000000000000000,'00001000000000000000000000000000,"single bit 19 (byte 2, bit-in-byte 3, MSB-first)","single bit 19 (byte 2, bit-in-byte 3, offset +0)",hespn;spn_null,True,8,160000,63.935268750000034,-4.577190582965746,15.931818749999977,-9.107806089579922,0,0.0,0.00345625,3.6331535333066576,0.0023125,5.211330156191664,1.5845719138533273e-10,3.797660809399832e-82,0.34224210688669443,1.2956601947790572e-05,3.472147025736989e-81,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.00588125,0.4158671756854524,15.938012500000031,0.8216062699537725,0,0.0,0.00296875,0.045238614430630514,0.00179375,0.26866208156712607,0.370243300137379,0.7683043628021624,0.0886441444211967,0.6426266219872342,0.5673225242956589,False,0.0,0.07061249999996733,4.993057758651198,0.006193750000054621,9.929412359533694,0.0,-0.0004875000000000001,-0.0005187499999999999,0.0,,,,,,,,
calibration,12,bit_a044_d044_off+000,bit_positions,'00000000000800000000000000000000,'00000000000800000000000000000000,"single bit 44 (byte 5, bit-in-byte 4, MSB-first)","single bit 44 (byte 5, bit-in-byte 4, offset +0)",hespn;spn_null,True,8,160000,63.89909999999993,-7.13470742217699,15.921956249999992,-24.91871699087303,0,0.0,0.00380625,6.20909244942278,0.003825,19.622482855699353,2.0539253012393778e-54,0.0,0.06451871710784028,2.547363965735321e-57,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.98728750000004,-0.8989094955803301,15.937587500000008,0.14027424121627333,0,0.0,0.0031125,1.103213526406895,0.0017625,-0.029089007265677477,0.3628691583875355,0.9990848786237322,0.30935373417569506,0.39640352543033086,0.7609878963094101,False,0.0,0.08818750000011022,6.23579792659666,0.015631250000016195,25.0589912320893,0.0,-0.0006937500000000004,-0.0020625,0.0,,,,,,,,
calibration,12,bit_a068_d068_off+000,bit_positions,'00000000000000000800000000000000,'00000000000000000800000000000000,"single bit 68 (byte 8, bit-in-byte 4, MSB-first)","single bit 68 (byte 8, bit-in-byte 4, offset +0)",hespn;spn_null,True,8,160000,63.95315625000002,-3.3123533281192783,15.928850000000002,-13.867110701785709,0,0.0,0.00356875,4.461133899201125,0.00284375,10.273098666349323,3.693191222961245e-35,1.2612291380332743e-234,0.44444265263442345,9.394414173307972e-12,2.6906221611376516e-233,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.985956250000015,-0.9930430858277837,15.93791250000002,0.6612928514192614,0,0.0,0.0032,1.7471982554359256,0.00181875,0.5068629526333689,0.8276820277530695,0.792092770693448,0.36001017315182127,0.6491683129405691,0.3886294020198869,False,0.0,0.03279999999999461,2.3193102422914946,0.009062500000018403,14.52840355320497,0.0,-0.0003687499999999997,-0.0010249999999999999,0.0,,,,,,,,
calibration,12,bit_a093_d093_off+000,bit_positions,'00000000000000000000000400000000,'00000000000000000000000400000000,"single bit 93 (byte 11, bit-in-byte 5, MSB-first)","single bit 93 (byte 11, bit-in-byte 5, offset +0)",hespn;spn_null,True,8,160000,63.894018750000015,-7.494006055361621,15.92041249999998,-27.393555389261046,0,0.0,0.00388125,6.7610793600190915,0.00458125,26.8280592054532,4.6837801726009127e-42,0.0,0.00019556750086891064,6.266076415008296e-211,0.0,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,64.03547499999979,2.508461306244576,15.939281250000006,2.855582767357645,0,0.0,0.00275,-1.5647232081419458,0.0016,-1.5773946691962557,0.6099057618532369,0.033522063845745916,0.02110380109260825,0.1555960672522825,0.3886294020198869,False,0.0,0.14145624999977713,10.002467361606197,0.01886875000002597,30.24913815661869,0.0,-0.0011312500000000003,-0.0029812500000000004,0.0,,,,,,,,
calibration,12,bit_a118_d118_off+000,bit_positions,'00000000000000000000000000000200,'00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",hespn;spn_null,True,8,160000,63.900962500000084,-7.003008784170343,15.923493749999993,-22.453898181159794,0,0.0,0.00371875,5.565107720393749,0.00384375,19.801133508999037,8.06494738778647e-14,2.0597735801472668e-216,0.0016161191968743892,8.907349740393683e-130,3.295637728235627e-215,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.976581250000024,-1.6559556931895691,15.936674999999994,-1.3225857027815682,0,0.0,0.00321875,1.8851949830850034,0.0017,-0.6245911849312845,0.4813546365906196,0.3894993760409998,0.39021901133495124,0.04822937909539189,0.3886294020198869,False,0.0,0.0756187499999399,5.347053090980774,0.013181250000000588,21.131312478378227,0.0,-0.0005,-0.00214375,0.0,,,,,,,,
calibration,12,bytepos_ab15_db15_a07_d10_off+00,byte_positions,'00000000000000000000000000000007,'00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",hespn;spn_null,True,8,160000,63.978112499999966,-1.5476799673244466,15.933687499999989,-6.111949081008851,0,0.0,0.00315,1.379206981705051,0.00215625,3.722574712027647,0.4705383775798947,5.454224272121722e-10,0.1934396972837632,6.700080894707873e-08,2.181689708848689e-09,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.988962500000234,-0.7804691097181055,15.937581250000008,0.13025465255857832,0,0.0,0.00285625,-0.7827417514638373,0.001825,0.5664131703999296,0.11381341098866421,0.9119636789054147,0.7754296772635683,0.49854575581427313,0.6485818930402077,False,0.0,0.010850000000267812,0.7672108576063411,0.003893750000019125,6.24220373356743,0.0,-0.0002937500000000002,-0.00033125000000000016,0.0,,,,,,,,
calibration,12,value_b00_a07_d10,byte_values,'07000000000000000000000000000000,'10000000000000000000000000000000,"byte 0, value 0x07, weight 3","byte 0, value 0x10, weight 1",hespn;spn_null,True,8,160000,63.957993750000114,-2.970290422713704,15.933893749999983,-5.7813026553248505,0,0.0,0.0030375,0.5512266158105831,0.00206875,2.888871663295797,0.4129763573127875,7.396403556805276e-09,0.6390543347236646,4.122919898690553e-08,2.784528397856104e-08,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.99437500000008,-0.3977475644115445,15.938468750000014,1.5530362419142487,0,0.0,0.00303125,0.5052277065942238,0.0018,0.32821229933368673,0.7093580920262224,0.08539637310851243,0.6052900417745132,0.7011373994773963,0.5673225242956589,False,0.0,0.03638124999996961,2.5725428583021595,0.004575000000031082,7.3343388972391,0.0,-6.249999999999745e-06,-0.0002687499999999999,0.0,,,,,,,,
calibration,12,value_b00_a0F_dF0,byte_values,'0F000000000000000000000000000000,'F0000000000000000000000000000000,"byte 0, value 0x0F, weight 4","byte 0, value 0xF0, weight 4",hespn;spn_null,True,8,160000,63.95958750000008,-2.8575952794642605,15.933356249999983,-6.6429872798581435,0,0.0,0.0030625,0.7352222526760204,0.00219375,4.079876018627011,0.24887909476050496,3.8997439102081723e-23,0.00023283736890750977,0.00018712430782552645,2.079863418777692e-22,True,0.0,False,,,,,,,,,,,,,,,,,,,,True,8,160000,63.99549999999991,-0.31819805154049,15.938006250000011,0.8115866812647524,0,0.0,0.00281875,-1.0587352067619933,0.00170625,-0.5650409671647239,0.2505670767789376,0.8182871056002384,0.8173003635662072,0.6134952245427218,0.8440154165185266,False,0.0,0.03591249999982438,2.5393972279237707,0.004650000000028243,7.454573961122896,0.0,-0.00024375000000000004,-0.00048749999999999987,0.0,,,,,,,,
